# Force coefficients
# dragDir           : (9.902680813243e-01 1.391730114294e-01 0.000000000000e+00)
# sideDir           : (0.000000000000e+00 0.000000000000e+00 -1.000000000000e+00)
# liftDir           : (-1.391730114294e-01 9.902680813243e-01 0.000000000000e+00)
# rollAxis          : (9.902680813243e-01 1.391730114294e-01 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 0.000000000000e+00 -1.000000000000e+00)
# yawAxis           : (-1.391730114294e-01 9.902680813243e-01 0.000000000000e+00)
# magUInf           : 6.000000000000e+01
# lRef              : 1.000000000000e+00
# Aref              : 1.000000000000e+00
# CofR              : (0.000000000000e+00 0.000000000000e+00 5.000000000000e-01)
#
# Time              	Cd                  	Cs                  	Cl                  	CmRoll              	CmPitch             	CmYaw               	Cd(f)               	Cd(r)               	Cs(f)               	Cs(r)               	Cl(f)               	Cl(r)               
0.122637            	1.442621705418e-02	-1.436239695247e-17	7.994818399373e-01	1.365698255444e-17	-1.697129184711e-01	-6.615852692750e-18	7.213108527091e-03	7.213108527091e-03	-1.379705116898e-17	-5.653457834827e-19	2.300280014976e-01	5.694538384397e-01
0.122912            	1.418890804428e-02	-1.930272518669e-17	7.968216996679e-01	1.790858359713e-17	-1.690202446019e-01	-8.780010067973e-18	7.094454022142e-03	7.094454022142e-03	-1.843137266132e-17	-8.713525253733e-19	2.293906052321e-01	5.674310944358e-01
0.123188            	1.421614737180e-02	-1.900294523054e-17	7.948895794670e-01	1.823101647003e-17	-1.687552569593e-01	-5.098823827361e-18	7.108073685898e-03	7.108073685898e-03	-1.460029644263e-17	-4.402648787909e-18	2.286895327741e-01	5.662000466928e-01
0.123464            	1.353770126479e-02	-1.131985305647e-17	7.906391420007e-01	2.176254133585e-17	-1.672492096424e-01	-2.630670486073e-18	6.768850632393e-03	6.768850632393e-03	-8.290597014308e-18	-3.029256042161e-18	2.280703613580e-01	5.625687806427e-01
0.123742            	1.391154590717e-02	-1.430209678993e-17	7.895924388850e-01	1.755006506725e-17	-1.674566700541e-01	-6.053377318634e-18	6.955772953587e-03	6.955772953587e-03	-1.320442571360e-17	-1.097671076333e-18	2.273395493884e-01	5.622528894966e-01
0.124019            	1.384977859774e-02	7.623157810030e-17	7.875926124709e-01	-7.936761990574e-17	-1.671476200282e-01	3.588897394220e-17	6.924889298872e-03	6.924889298872e-03	7.400476299236e-17	2.226815107948e-18	2.266486862073e-01	5.609439262637e-01
0.124298            	1.362675402723e-02	-2.224226495098e-17	7.848412924008e-01	-8.347401631350e-17	-1.664206824407e-01	-9.498734330015e-18	6.813377013617e-03	6.813377013617e-03	-2.061986680550e-17	-1.622398145474e-18	2.259999637598e-01	5.588413286411e-01
0.124577            	1.328483875566e-02	-1.101067263930e-16	7.815161779808e-01	7.617462243465e-18	-1.654257406580e-01	-4.534262743854e-17	6.642419377828e-03	6.642419377828e-03	-1.003959906350e-16	-9.710735757975e-18	2.253323483324e-01	5.561838296483e-01
0.124856            	1.350773445856e-02	-1.942330712337e-17	7.805330907804e-01	2.049005483814e-17	-1.656443081028e-01	-7.411672447885e-18	6.753867229282e-03	6.753867229282e-03	-1.712332600957e-17	-2.299981113802e-18	2.246222372874e-01	5.559108534929e-01
0.125137            	1.321077340511e-02	-1.167773125142e-17	7.773214815749e-01	1.141006949629e-17	-1.647040814274e-01	-9.467098901822e-18	6.605386702557e-03	6.605386702557e-03	-1.530596452753e-17	3.628233276110e-18	2.239566593601e-01	5.533648222148e-01
0.125418            	1.314922579376e-02	-1.365064407411e-17	7.750876586034e-01	1.286813827381e-17	-1.642879766933e-01	-4.406134410646e-18	6.574612896880e-03	6.574612896880e-03	-1.123145644770e-17	-2.419187626411e-18	2.232558526084e-01	5.518318059950e-01
0.1257              	1.335019392648e-02	-1.312224042972e-17	7.763093438875e-01	1.963977790288e-17	-1.654547202505e-01	-4.901486712153e-18	6.675096963240e-03	6.675096963240e-03	-1.146260692701e-17	-1.659633502707e-18	2.226999516932e-01	5.536093921943e-01
0.125982            	1.287933672205e-02	-1.990718108043e-17	7.705491012295e-01	2.124493795973e-17	-1.633528137299e-01	-7.182580673099e-18	6.439668361026e-03	6.439668361026e-03	-1.713617121331e-17	-2.771009867115e-18	2.219217368848e-01	5.486273643447e-01
0.126265            	1.280236799309e-02	-1.540452692639e-17	7.684470317824e-01	1.891231733012e-17	-1.629760642435e-01	-7.284964244162e-18	6.401183996543e-03	6.401183996543e-03	-1.498722770736e-17	-4.172992190329e-19	2.212474516477e-01	5.471995801346e-01
0.126549            	1.264481204535e-02	-7.654920997721e-18	7.657126201360e-01	1.504210714465e-17	-1.623012414840e-01	-1.445407049525e-18	6.322406022673e-03	6.322406022673e-03	-5.272867548386e-18	-2.382053449336e-18	2.205550685840e-01	5.451575515520e-01
0.126833            	1.253151842977e-02	6.860742710018e-17	7.631578666959e-01	-8.571228105418e-17	-1.617108634564e-01	2.933954830698e-17	6.265759214887e-03	6.265759214887e-03	6.364326185708e-17	4.964165243107e-18	2.198680698916e-01	5.432897968043e-01
0.127119            	1.237893951195e-02	-2.662880532832e-17	7.605794296982e-01	-8.115877083510e-17	-1.611226608661e-01	-1.055310368265e-17	6.189469755974e-03	6.189469755974e-03	-2.386750634681e-17	-2.761298981516e-18	2.191670539830e-01	5.414123757152e-01
0.127405            	1.227888627306e-02	-1.127597632238e-16	7.583147287457e-01	1.000293187581e-17	-1.606909507228e-01	-4.810273100391e-17	6.139443136531e-03	6.139443136531e-03	-1.044826126158e-16	-8.277150607979e-18	2.184664136501e-01	5.398483150957e-01
0.127691            	1.210381632506e-02	7.027529192852e-17	7.554458088693e-01	-7.580893004618e-17	-1.599592141151e-01	3.398412653158e-17	6.051908162530e-03	6.051908162530e-03	6.912177249584e-17	1.153519432684e-18	2.177636903196e-01	5.376821185498e-01
0.127978            	1.198581822363e-02	-1.059458703281e-16	7.530824111625e-01	7.370932064746e-18	-1.594841819351e-01	-4.557336681439e-17	5.992909111816e-03	5.992909111816e-03	-9.854630197845e-17	-7.399568349659e-18	2.170570236461e-01	5.360253875164e-01
0.128267            	1.183943974420e-02	-1.600996547953e-17	7.503453430964e-01	1.715470442812e-17	-1.588117047313e-01	-2.608583666715e-18	5.919719872101e-03	5.919719872101e-03	-1.061356640648e-17	-5.396399073052e-18	2.163609668169e-01	5.339843762796e-01
0.128556            	1.171060329139e-02	-1.111394328003e-17	7.477684393506e-01	1.394892358245e-17	-1.582418097631e-01	-5.833300147773e-18	5.855301645694e-03	5.855301645694e-03	-1.139027178779e-17	2.763285077577e-19	2.156424099123e-01	5.321260294384e-01
0.128845            	1.161178982166e-02	-1.534113123290e-17	7.451363704342e-01	5.324944856707e-18	-1.576135803425e-01	-9.785680151495e-18	5.805894910832e-03	5.805894910832e-03	-1.745624576795e-17	2.115114535044e-18	2.149546048746e-01	5.301817655596e-01
0.129136            	1.148870298073e-02	7.119616969313e-17	7.426862509341e-01	-7.241163211433e-17	-1.571064667013e-01	3.426046415494e-17	5.744351490367e-03	5.744351490367e-03	6.985854900151e-17	1.337620691627e-18	2.142366587657e-01	5.284495921683e-01
0.129427            	1.135461305949e-02	-2.212223285853e-17	7.401615268614e-01	-7.778312862239e-17	-1.565545841572e-01	-8.664764695420e-18	5.677306529746e-03	5.677306529747e-03	-1.972588112468e-17	-2.396351733843e-18	2.135261792735e-01	5.266353475879e-01
0.12972             	1.123725345552e-02	-1.099911414002e-16	7.376037995165e-01	1.267406187648e-17	-1.559868202383e-01	-5.073764991295e-17	5.618626727759e-03	5.618626727759e-03	-1.057332206131e-16	-4.257920787163e-18	2.128150795199e-01	5.247887199965e-01
0.130012            	1.098615190634e-02	7.423770985967e-17	7.349409144813e-01	-7.227212462942e-17	-1.553655429223e-01	3.363772815525e-17	5.493075953169e-03	5.493075953169e-03	7.075658308509e-17	3.481126774586e-18	2.121049143183e-01	5.228360001630e-01
0.130306            	1.097567123025e-02	-1.069332378716e-16	7.323711786627e-01	8.045755309482e-18	-1.547954368665e-01	-4.896807765210e-17	5.487835615123e-03	5.487835615123e-03	-1.024346965879e-16	-4.498541283725e-18	2.113901524649e-01	5.209810261979e-01
0.130601            	1.084405203110e-02	-1.290486239950e-17	7.298419943990e-01	1.515334726796e-17	-1.542563764734e-01	-1.476244891427e-18	5.422026015549e-03	5.422026015549e-03	-7.928676091178e-18	-4.976186308323e-18	2.106646207261e-01	5.191773736729e-01
0.130896            	1.074516306774e-02	6.600023239455e-17	7.272898422234e-01	-7.490944511046e-17	-1.536953377040e-01	3.184201444710e-17	5.372581533868e-03	5.372581533868e-03	6.484213064437e-17	1.158101750179e-18	2.099495834077e-01	5.173402588157e-01
0.131192            	1.066441393681e-02	-1.047557031336e-16	7.247018860211e-01	1.444269774418e-18	-1.531240457562e-01	-4.955210728254e-17	5.332206968406e-03	5.332206968406e-03	-1.019299588493e-16	-2.825744284249e-18	2.092268972543e-01	5.154749887668e-01
